archetype,opp_archetype,w,l,d,matches,matches_wl,p_win,p_lose,p_draw,p_win_nodraw,p_lose_nodraw
4C Waterfalls,Maverick,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
4C Waterfalls,Mono-Red Prison,0,1,0,1,1,0.0,1.0,0.0,0.0,0.0
4C Waterfalls,Unknown,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
5C Czech Pile,BUG Zenith Oko,0,1,0,1,1,0.0,1.0,0.0,0.0,0.0
5C Czech Pile,Bant Mentor,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
5C Czech Pile,Burn,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
5C Czech Pile,Eldrazi Post,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
5C Czech Pile,Elves,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
5C Czech Pile,Grixis Delver,0,1,0,1,1,0.0,1.0,0.0,0.0,0.0
5C Czech Pile,Lands,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
5C Czech Pile,Reanimator,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
5C Czech Pile,Sneak and Show,1,1,0,2,2,0.5,0.5,0.0,0.5,0.5
5C Czech Pile,UR Delver,3,0,0,3,3,1.0,0.0,0.0,1.0,1.0
Abzan,4C Astrolabe,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
Abzan,Ad Nauseam Tendrils,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
Abzan,BUG Delver,0,1,0,1,1,0.0,1.0,0.0,0.0,0.0
Abzan,Bomberman,0,1,0,1,1,0.0,1.0,0.0,0.0,0.0
Abzan,Eldrazi Stompy,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
Abzan,Elves,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
Abzan,Food Chain,0,1,0,1,1,0.0,1.0,0.0,0.0,0.0
Abzan,Golgari Depths,2,0,0,2,2,1.0,0.0,0.0,1.0,1.0
Abzan,Grixis Control,0,1,0,1,1,0.0,1.0,0.0,0.0,0.0
Abzan,Grixis Delver,2,2,0,4,4,0.5,0.5,0.0,0.5,0.5
Abzan,Infect,0,1,0,1,1,0.0,1.0,0.0,0.0,0.0
Abzan,Jeskai Mentor,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
Abzan,Jund,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
Abzan,Lands,0,1,0,1,1,0.0,1.0,0.0,0.0,0.0
Abzan,Mono-Red Prison,0,1,0,1,1,0.0,1.0,0.0,0.0,0.0
Abzan,Omni-Tell,0,1,0,1,1,0.0,1.0,0.0,0.0,0.0
Abzan,Painter,0,1,0,1,1,0.0,1.0,0.0,0.0,0.0
Abzan,Pox,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
Abzan,RUG Delver,1,1,0,2,2,0.5,0.5,0.0,0.5,0.5
Abzan,Reanimator,1,1,0,2,2,0.5,0.5,0.0,0.5,0.5
Abzan,Selesnya Depths,0,1,0,1,1,0.0,1.0,0.0,0.0,0.0
Abzan,Sneak and Show,1,1,0,2,2,0.5,0.5,0.0,0.5,0.5
Abzan,UR Delver,0,1,1,2,1,0.0,0.5,0.5,0.0,0.0
