Date,Type,Event,DV,w,l,Opposing Deck,M-Results,M-Result
02/08/2020,Modo,League,v9.0,1,0,Grixis Delver,2-0,W
02/08/2020,Modo,League,v9.0,2,0,Breach,L
02/08/2020,Modo,League,v9.0,2,1,Burn,2-0,W
02/08/2020,Modo,League,v9.0,3,1,Grixis Delver,2-1,W
02/08/2020,Modo,League,v9.0,0,0,Rogue,1-2,L
02/08/2020,Modo,League,v9.0,0,1,Rogue,0-2,L
02/09/2020,Modo,League,v0.0,0,0,TES,2-0,W
02/09/2020,Modo,League,v0.0,1,0,Elves,0-2,L
02/09/2020,Modo,League,v0.0,1,1,Infect,2-0,W
02/09/2020,Modo,League,v0.0,2,1,Golgari Depths,2-0,W
02/09/2020,Modo,League,v0.0,3,1,BUG Control,2-0,W
02/09/2020,Modo,League,v9.2,0,0,TES,2-1,W
02/09/2020,Modo,League,v9.2,1,0,Sneak and Show,2-0,W
02/09/2020,Modo,League,v9.2,2,0,Control: RUG,2-0,W
02/09/2020,Modo,League,v9.2,2,1,Rogue,1-2,L
02/09/2020,Modo,League,v9.2,2,2,Reanimator,0-2,L
02/09/2020,Modo,League,v9.2,0,0,4C Loam,2-0,W
02/09/2020,Modo,League,v9.2,1,0,Elves,2-1,W
02/09/2020,Modo,League,v9.2,2,0,Control: 4c,2-0,W
02/09/2020,Modo,League,v9.2,3,0,BUG Delver,1-2,L
02/09/2020,Modo,League,v9.2,3,1,Esper Mentor,2-0,W
02/11/2020,Modo,League,v9.2,0,0,Miracles,2-0,W
02/11/2020,Modo,League,v9.2,1,0,Death and Taxes,2-1,W
02/11/2020,Modo,League,v9.2,2,0,ANT,2-1,W
02/11/2020,Modo,League,v9.2,3,0,Breach,L
02/11/2020,Modo,League,v9.2,3,1,Breach,L
